FUNCTION,PARAM,CONDITION_NUM,OPTIMIZER_TYPE,STEP_FUNCTION_TYPE,GRADIENT_TYPE,STEP_SIZE
LOG,0.0001,5.0,NONNORMALIZE,EMPIRICAL,CONSTANT,0.5315
LOG,0.0001,5.0,ADAGRAD,EMPIRICAL,CONSTANT,1.4277
QUADRATIC,0.2,5.0,NORMALIZE,EMPIRICAL,INV_SQ_ROOT,0.4005
QUADRATIC,0.2,5.0,NONNORMALIZE,EMPIRICAL,INV_SQ_ROOT,9.1597
QUADRATIC,0.2,5.0,ADAGRAD,EMPIRICAL,INV_SQ_ROOT,4.0921
QUADRATIC,0.2,5.0,NORMALIZE,EMPIRICAL,LOG,0.3042
QUADRATIC,0.2,5.0,NONNORMALIZE,EMPIRICAL,LOG,5.8573
QUADRATIC,0.2,5.0,ADAGRAD,EMPIRICAL,LOG,2.9613
QUADRATIC,0.2,5.0,NORMALIZE,EMPIRICAL,GEOMETRIC,0.5430
QUADRATIC,0.2,5.0,NONNORMALIZE,EMPIRICAL,GEOMETRIC,10.3824
QUADRATIC,0.2,5.0,ADAGRAD,EMPIRICAL,GEOMETRIC,6.3601
QUADRATIC,0.2,5.0,NORMALIZE,EMPIRICAL,CONSTANT,0.0969
QUADRATIC,0.2,5.0,NONNORMALIZE,EMPIRICAL,CONSTANT,2.0273
QUADRATIC,0.2,5.0,ADAGRAD,EMPIRICAL,CONSTANT,0.8122
LOG,0.1,1.0,NORMALIZE,TRUE,INV_SQ_ROOT,1.0386
LOG,0.1,1.0,NONNORMALIZE,TRUE,INV_SQ_ROOT,2.8971
LOG,0.1,1.0,ADAGRAD,TRUE,INV_SQ_ROOT,2.2959
LOG,0.1,1.0,NORMALIZE,TRUE,LOG,4.7816
LOG,0.1,1.0,NONNORMALIZE,TRUE,LOG,3.9856
LOG,0.1,1.0,ADAGRAD,TRUE,LOG,2.5126
LOG,0.1,1.0,NORMALIZE,TRUE,GEOMETRIC,4.7059
LOG,0.1,1.0,NONNORMALIZE,TRUE,GEOMETRIC,6.0422
LOG,0.1,1.0,ADAGRAD,TRUE,GEOMETRIC,2.3439
LOG,0.1,1.0,NORMALIZE,TRUE,CONSTANT,10.0000
LOG,0.1,1.0,NONNORMALIZE,TRUE,CONSTANT,1.0187
LOG,0.1,1.0,ADAGRAD,TRUE,CONSTANT,0.7855
QUADRATIC,2.0,1.0,NORMALIZE,TRUE,INV_SQ_ROOT,1.0386
QUADRATIC,2.0,1.0,NONNORMALIZE,TRUE,INV_SQ_ROOT,5.0000
QUADRATIC,2.0,1.0,ADAGRAD,TRUE,INV_SQ_ROOT,17.8837
QUADRATIC,2.0,1.0,NORMALIZE,TRUE,LOG,4.7816
QUADRATIC,2.0,1.0,NONNORMALIZE,TRUE,LOG,4.3330
QUADRATIC,2.0,1.0,ADAGRAD,TRUE,LOG,11.4989
QUADRATIC,2.0,1.0,NORMALIZE,TRUE,GEOMETRIC,2.0000
QUADRATIC,2.0,1.0,NONNORMALIZE,TRUE,GEOMETRIC,4.0001
QUADRATIC,2.0,1.0,ADAGRAD,TRUE,GEOMETRIC,9.4798
QUADRATIC,2.0,1.0,NORMALIZE,TRUE,CONSTANT,0.9072
QUADRATIC,2.0,1.0,NONNORMALIZE,TRUE,CONSTANT,0.9895
QUADRATIC,2.0,1.0,ADAGRAD,TRUE,CONSTANT,8.3055
LOG,0.0001,5.0,NORMALIZE,TRUE,INV_SQ_ROOT,1.1338
LOG,0.0001,5.0,NONNORMALIZE,TRUE,INV_SQ_ROOT,2.2836
LOG,0.0001,5.0,ADAGRAD,TRUE,INV_SQ_ROOT,1.9665
LOG,0.0001,5.0,NORMALIZE,TRUE,LOG,0.9828
LOG,0.0001,5.0,NONNORMALIZE,TRUE,LOG,1.9986
LOG,0.0001,5.0,ADAGRAD,TRUE,LOG,1.7320
LOG,0.0001,5.0,NORMALIZE,TRUE,GEOMETRIC,1.5996
LOG,0.0001,5.0,NONNORMALIZE,TRUE,GEOMETRIC,3.2522
LOG,0.0001,5.0,ADAGRAD,TRUE,GEOMETRIC,2.3134
LOG,0.0001,5.0,NORMALIZE,TRUE,CONSTANT,0.2814
LOG,0.0001,5.0,NONNORMALIZE,TRUE,CONSTANT,0.5611
LOG,0.0001,5.0,ADAGRAD,TRUE,CONSTANT,0.5866
QUADRATIC,0.2,5.0,NORMALIZE,TRUE,INV_SQ_ROOT,4.6982
QUADRATIC,0.2,5.0,NONNORMALIZE,TRUE,INV_SQ_ROOT,1.8819
QUADRATIC,0.2,5.0,ADAGRAD,TRUE,INV_SQ_ROOT,2.0193
QUADRATIC,0.2,5.0,NORMALIZE,TRUE,LOG,3.4671
QUADRATIC,0.2,5.0,NONNORMALIZE,TRUE,LOG,1.9094
QUADRATIC,0.2,5.0,ADAGRAD,TRUE,LOG,1.8195
QUADRATIC,0.2,5.0,NORMALIZE,TRUE,GEOMETRIC,6.0586
QUADRATIC,0.2,5.0,NONNORMALIZE,TRUE,GEOMETRIC,3.1486
QUADRATIC,0.2,5.0,ADAGRAD,TRUE,GEOMETRIC,2.3991
QUADRATIC,0.2,5.0,NORMALIZE,TRUE,CONSTANT,1.0992
QUADRATIC,0.2,5.0,NONNORMALIZE,TRUE,CONSTANT,0.3839
QUADRATIC,0.2,5.0,ADAGRAD,TRUE,CONSTANT,0.6165
